date,country,name,value
2018-01-01,Korea,nathan on osu,14042
2018-01-01,Poland,Rafis,14006
2018-01-01,France,Sub2PewDiePie,13570
2018-01-01,United States,Vaxei,13552
2018-01-01,Korea,firebat92,13376
2018-01-01,Lithuania,azr8,13274
2018-01-01,Chile,Mathi,12914
2018-01-01,Canada,RyuK,12436
2018-01-01,Singapore,Emilia,12156
2018-01-01,Great Britain,Bubbleman,11875
2018-01-02,Korea,nathan on osu,14042
2018-01-02,Poland,Rafis,14006
2018-01-02,France,Sub2PewDiePie,13570
2018-01-02,United States,Vaxei,13552
2018-01-02,Korea,firebat92,13377
2018-01-02,Lithuania,azr8,13274
2018-01-02,Chile,Mathi,12914
2018-01-02,Canada,RyuK,12514
2018-01-02,Singapore,Emilia,12156
2018-01-02,Great Britain,Bubbleman,11876
2018-01-03,Korea,nathan on osu,14042
2018-01-03,Poland,Rafis,14006
2018-01-03,France,Sub2PewDiePie,13570
2018-01-03,United States,Vaxei,13552
2018-01-03,Korea,firebat92,13377
2018-01-03,Lithuania,azr8,13274
2018-01-03,Chile,Mathi,12914
2018-01-03,Canada,RyuK,12515
2018-01-03,Singapore,Emilia,12156
2018-01-03,Great Britain,Bubbleman,11876
2018-01-04,Korea,nathan on osu,14042
2018-01-04,Poland,Rafis,14006
2018-01-04,France,Sub2PewDiePie,13570
2018-01-04,United States,Vaxei,13552
2018-01-04,Korea,firebat92,13377
2018-01-04,Lithuania,azr8,13274
2018-01-04,Chile,Mathi,12915
2018-01-04,Canada,RyuK,12515
2018-01-04,Singapore,Emilia,12149
2018-01-04,Great Britain,Bubbleman,11876
2018-01-05,Korea,nathan on osu,14042
2018-01-05,Poland,Rafis,14006
2018-01-05,France,Sub2PewDiePie,13571
2018-01-05,United States,Vaxei,13552
2018-01-05,Korea,firebat92,13377
2018-01-05,Lithuania,azr8,13322
2018-01-05,Chile,Mathi,12944
2018-01-05,Canada,RyuK,12516
2018-01-05,Singapore,Emilia,12149
2018-01-05,Great Britain,Bubbleman,11876
2018-01-06,Korea,nathan on osu,14042
2018-01-06,Poland,Rafis,14006
2018-01-06,France,Sub2PewDiePie,13571
2018-01-06,United States,Vaxei,13552
2018-01-06,Korea,firebat92,13377
2018-01-06,Lithuania,azr8,13322
2018-01-06,Chile,Mathi,13011
2018-01-06,Canada,RyuK,12517
2018-01-06,Singapore,Emilia,12149
2018-01-06,Great Britain,Bubbleman,11876
2018-01-07,Korea,nathan on osu,14042
2018-01-07,Poland,Rafis,14006
2018-01-07,France,Sub2PewDiePie,13571
2018-01-07,United States,Vaxei,13552
2018-01-07,Korea,firebat92,13377
2018-01-07,Lithuania,azr8,13322
2018-01-07,Chile,Mathi,13012
2018-01-07,Canada,RyuK,12517
2018-01-07,Singapore,Emilia,12149
2018-01-07,Great Britain,Bubbleman,11876
2018-01-08,Korea,nathan on osu,14042
2018-01-08,Poland,Rafis,14006
2018-01-08,France,Sub2PewDiePie,13571
2018-01-08,United States,Vaxei,13552
2018-01-08,Korea,firebat92,13377
2018-01-08,Lithuania,azr8,13322
2018-01-08,Chile,Mathi,13015
2018-01-08,Canada,RyuK,12517
2018-01-08,Singapore,Emilia,12149
2018-01-08,Great Britain,Bubbleman,11876
2018-01-09,Korea,nathan on osu,14042
2018-01-09,Poland,Rafis,14006
2018-01-09,France,Sub2PewDiePie,13571
2018-01-09,United States,Vaxei,13552
2018-01-09,Korea,firebat92,13377
2018-01-09,Lithuania,azr8,13322
2018-01-09,Chile,Mathi,13015
2018-01-09,Canada,RyuK,12518
2018-01-09,Singapore,Emilia,12149
2018-01-09,Hong Kong,mcy4,11876
2018-01-10,Korea,nathan on osu,14042
2018-01-10,Poland,Rafis,14006
2018-01-10,France,Sub2PewDiePie,13571
2018-01-10,United States,Vaxei,13552
2018-01-10,Korea,firebat92,13377
2018-01-10,Lithuania,azr8,13322
2018-01-10,Chile,Mathi,13015
2018-01-10,Canada,RyuK,12518
2018-01-10,Singapore,Emilia,12149
2018-01-10,Hong Kong,mcy4,11876
2018-01-11,Korea,nathan on osu,14042
2018-01-11,Poland,Rafis,14006
2018-01-11,France,Sub2PewDiePie,13571
2018-01-11,United States,Vaxei,13552
2018-01-11,Korea,firebat92,13377
2018-01-11,Lithuania,azr8,13325
2018-01-11,Chile,Mathi,13153
2018-01-11,Canada,RyuK,12518
2018-01-11,Singapore,Emilia,12150
2018-01-11,Hong Kong,mcy4,11876
2018-01-12,Korea,nathan on osu,14076
2018-01-12,Poland,Rafis,14006
2018-01-12,France,Sub2PewDiePie,13571
2018-01-12,United States,Vaxei,13552
2018-01-12,Korea,firebat92,13377
2018-01-12,Lithuania,azr8,13325
2018-01-12,Chile,Mathi,13153
2018-01-12,Canada,RyuK,12518
2018-01-12,Singapore,Emilia,12150
2018-01-12,Hong Kong,mcy4,11876
2018-01-13,Korea,nathan on osu,14076
2018-01-13,Poland,Rafis,14006
2018-01-13,France,Sub2PewDiePie,13571
2018-01-13,United States,Vaxei,13552
2018-01-13,Korea,firebat92,13377
2018-01-13,Lithuania,azr8,13325
2018-01-13,Chile,Mathi,13153
2018-01-13,Canada,RyuK,12532
2018-01-13,Singapore,Emilia,12150
2018-01-13,Hong Kong,mcy4,11876
2018-01-14,Korea,nathan on osu,14076
2018-01-14,Poland,Rafis,14006
2018-01-14,France,Sub2PewDiePie,13571
2018-01-14,United States,Vaxei,13552
2018-01-14,Korea,firebat92,13377
2018-01-14,Lithuania,azr8,13325
2018-01-14,Chile,Mathi,13153
2018-01-14,Canada,RyuK,12532
2018-01-14,Singapore,Emilia,12150
2018-01-14,Hong Kong,mcy4,11876
2018-01-15,Korea,nathan on osu,14076
2018-01-15,Poland,Rafis,14006
2018-01-15,France,Sub2PewDiePie,13571
2018-01-15,United States,Vaxei,13552
2018-01-15,Korea,firebat92,13377
2018-01-15,Lithuania,azr8,13325
2018-01-15,Chile,Mathi,13153
2018-01-15,Canada,RyuK,12532
2018-01-15,Singapore,Emilia,12150
2018-01-15,Hong Kong,mcy4,11876
2018-01-16,Korea,nathan on osu,14076
2018-01-16,Poland,Rafis,14006
2018-01-16,France,Sub2PewDiePie,13571
2018-01-16,United States,Vaxei,13557
2018-01-16,Korea,firebat92,13377
2018-01-16,Lithuania,azr8,13325
2018-01-16,Chile,Mathi,13153
2018-01-16,Canada,RyuK,12532
2018-01-16,Singapore,Emilia,12150
2018-01-16,Hong Kong,mcy4,11876
2018-01-17,Korea,nathan on osu,14076
2018-01-17,Poland,Rafis,14006
2018-01-17,France,Sub2PewDiePie,13571
2018-01-17,United States,Vaxei,13557
2018-01-17,Korea,firebat92,13377
2018-01-17,Lithuania,azr8,13325
2018-01-17,Chile,Mathi,13153
2018-01-17,Canada,RyuK,12532
2018-01-17,Singapore,Emilia,12151
2018-01-17,Hong Kong,mcy4,11876
2018-01-18,Korea,nathan on osu,14076
2018-01-18,Poland,Rafis,14006
2018-01-18,France,Sub2PewDiePie,13571
2018-01-18,United States,Vaxei,13557
2018-01-18,Korea,firebat92,13377
2018-01-18,Lithuania,azr8,13325
2018-01-18,Chile,Mathi,13153
2018-01-18,Canada,RyuK,12533
2018-01-18,Singapore,Emilia,12151
2018-01-18,Hong Kong,mcy4,11876
